央视频道,#genre#
CCTV-1,rtsp://10.254.223.130/PLTV/88888888/224/3221225621/10000100000000060000000000009742_0.smil
CCTV-2,rtsp://10.254.223.130/PLTV/88888888/224/3221225622/10000100000000060000000000009740_0.smil
CCTV-3,rtsp://10.254.223.130/PLTV/88888888/224/3221225846/10000100000000060000000000154432_0.smil
CCTV-4,rtsp://10.254.223.130/PLTV/88888888/224/3221226537/184048377.smil
CCTV-5,rtsp://10.254.223.130/PLTV/88888888/224/3221225840/10000100000000060000000000154411_0.smil
CCTV-6,rtsp://10.254.223.130/PLTV/88888888/224/3221225841/10000100000000060000000000154410_0.smil
CCTV-7,rtsp://10.254.223.130/PLTV/88888888/224/3221225624/10000100000000060000000000009735_0.smil
CCTV-8,rtsp://10.254.223.130/PLTV/88888888/224/3221225842/10000100000000060000000000154409_0.smil
CCTV-9,rtsp://10.254.223.130/PLTV/88888888/224/3221225625/10000100000000060000000000009739_0.smil
CCTV-10,rtsp://10.254.223.130/PLTV/88888888/224/3221225626/10000100000000060000000000009738_0.smil
CCTV-11,rtsp://10.254.223.130/PLTV/88888888/224/3221226437/10000100000000060000000002779152_0.smil
CCTV-12,rtsp://10.254.223.130/PLTV/88888888/224/3221225627/10000100000000060000000000009737_0.smil
CCTV-13,rtsp://10.254.223.130/PLTV/88888888/224/3221226521/10000100000000060000000004577862_0.smil
CCTV-14,rtsp://10.254.223.130/PLTV/88888888/224/3221225628/10000100000000060000000000009736_0.smil
CCTV-15,rtsp://10.254.223.130/PLTV/88888888/224/3221226463/10000100000000060000000002779151_0.smil
CCTV-17,rtsp://10.254.223.130/PLTV/88888888/224/3221226451/10000100000000060000000002754622_0.smil
CCTV4K超高清,rtsp://10.254.223.130/PLTV/88888888/224/3221226611/334810787.smil
CCTV-5+,rtsp://10.254.223.130/PLTV/88888888/224/3221225623/10000100000000060000000000009741_0.smil
CCTV4欧洲,rtsp://10.254.223.130/PLTV/88888888/224/3221226603/186802328.smil
CCTV4美洲,rtsp://10.254.223.130/PLTV/88888888/224/3221226584/186798824.smil
CGTN英语,rtsp://10.254.223.130/PLTV/88888888/224/3221226577/186798828.smil
CGTN英文纪录,rtsp://10.254.223.130/PLTV/88888888/224/3221226608/186802952.smil
CGTN西班牙语,rtsp://10.254.223.130/PLTV/88888888/224/3221226565/186798818.smil
CGTN法语,rtsp://10.254.223.130/PLTV/88888888/224/3221226560/186802324.smil
