v央视频道,#genre#
CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8?
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8?
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8?
CCTV4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8?
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8?
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8?
CCTV7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8?
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8?
CCTV9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8?
CCTV10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8?
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8?
CCTV12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8?
CCTV13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8?
CCTV14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8?
CCTV15,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8?
CCTV16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8?
CCTV17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8?
CCTV5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8?
卫视频道,#genre#
湖南卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000523/1.m3u8?
浙江卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000531/1.m3u8?
东方卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000518/1.m3u8?
北京卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000516/1.m3u8?
江苏卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000524/1.m3u8?
安徽卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000514/1.m3u8?
重庆卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000517/1.m3u8?
四川卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000025/1.m3u8?
云南卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000035/1.m3u8?
东南卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000519/1.m3u8?
深圳卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000529/1.m3u8?
广东卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000520/1.m3u8?
广西卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000034/1.m3u8?
贵州卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000036/1.m3u8?
河北卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000057/1.m3u8?
河南卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000027/1.m3u8?
黑龙江卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000521/1.m3u8?
湖北卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000522/1.m3u8?
江西卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000525/1.m3u8?
吉林卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000030/1.m3u8?
辽宁卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000526/1.m3u8?
山东卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000527/1.m3u8?
天津卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000530/1.m3u8?
海南卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000037/1.m3u8?
甘肃卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000023/1.m3u8?
青海卫视,http://[2409:8087:74d9:21::17]/270000001128/9900000042/1.m3u8?
电影轮播,#genre#
CHC高清电影,http://1.192.250.104:9901/tsfile/live/1000_1.m3u8
CHC动作电影,http://1.192.250.104:9901/tsfile/live/1002_1.m3u8
CHC家庭影院,http://1.192.250.104:9901/tsfile/live/1001_1.m3u8
纪实人文,http://[2409:8087:74d9:21::17]/270000001128/9900000528/1.m3u8?
军事评论,http://[2409:8087:74d9:21::17]/270000001128/9900000110/1.m3u8?
精品记录,http://[2409:8087:74d9:21::17]/270000001128/9900000109/1.m3u8?
纪实科教,http://[2409:8087:74d9:21::17]/270000001128/9900000515/1.m3u8?
