
央视频道,#genre#
CCTV1,http://171.88.137.8:5555/udp/239.93.0.184:5140
CCTV2,http://171.88.137.8:5555/udp/239.93.1.23:6000
CCTV3,http://171.88.137.8:5555/udp/239.93.1.11:2223
CCTV4,http://171.88.137.8:5555/udp/239.93.1.105:5140
CCTV5,http://171.88.137.8:5555/udp/239.93.1.12:2224
CCTV6,http://171.88.137.8:5555/udp/239.93.1.13:2226
CCTV7,http://171.88.137.8:5555/udp/239.93.1.67:5140
CCTV8,http://171.88.137.8:5555/udp/239.93.42.39:5140
CCTV9,http://171.88.137.8:5555/udp/239.93.1.24:5140
CCTV10,http://171.88.137.8:5555/udp/239.93.1.28:5140
CCTV11,http://171.88.137.8:5555/udp/239.93.0.102:5140
CCTV12,http://171.88.137.8:5555/udp/239.93.1.30:8124
CCTV13,http://171.88.137.8:5555/udp/239.93.0.66:5140
CCTV14,http://171.88.137.8:5555/udp/239.93.1.29:6000
CCTV15,http://171.88.137.8:5555/udp/239.93.0.103:5140
CCTV17,http://171.88.137.8:5555/udp/239.93.0.92:5140
CCTV5+,http://171.88.137.8:5555/udp/239.93.1.36:8004
CCTV怀旧剧场,http://171.88.137.8:5555/udp/239.93.1.198:5140
CCTV兵器科技,http://171.88.137.8:5555/udp/239.93.1.235:5140
CCTV风云足球,http://171.88.137.8:5555/udp/239.93.0.235:5140
CCTV世界地理,http://171.88.137.8:5555/udp/239.93.1.157:5140
CCTV风云剧场,http://171.88.137.8:5555/udp/239.93.1.156:5140
CCTV第一剧场,http://171.88.137.8:5555/udp/239.93.1.197:5140
CCTV风云音乐,http://171.88.137.8:5555/udp/239.93.0.224:5140
CCTV央视台球,http://171.88.137.8:5555/udp/239.93.0.218:5140
CCTV高尔夫网球,http://171.88.137.8:5555/udp/239.93.1.54:5140
CCTV央视文化精品,http://171.88.137.8:5555/udp/239.93.42.47:5140	
卫视频道,#genre#
凤凰中文,http://171.88.137.8:5555/udp/239.93.0.162:2192
凤凰资讯,http://171.88.137.8:5555/udp/239.93.0.118:2191
河南卫视,http://171.88.137.8:5555/udp/239.93.42.45:5140
湖南卫视,http://171.88.137.8:5555/udp/239.93.0.88:5140
江苏卫视,http://171.88.137.8:5555/udp/239.93.0.89:5140
浙江卫视,http://171.88.137.8:5555/udp/239.93.0.124:5140
东方卫视,http://171.88.137.8:5555/udp/239.93.0.123:5140
北京卫视,http://171.88.137.8:5555/udp/239.93.0.180:5140
深圳卫视,http://171.88.137.8:5555/udp/239.93.0.182:5140
广东卫视,http://171.88.137.8:5555/udp/239.93.0.181:5140
天津卫视,http://171.88.137.8:5555/udp/239.93.0.167:5140
山东卫视,http://171.88.137.8:5555/udp/239.93.0.168:5140
四川卫视,http://171.88.137.8:5555/udp/239.93.0.20:1235
康巴卫视,http://171.88.137.8:5555/udp/239.93.0.41:5140
江西卫视,http://171.88.137.8:5555/udp/239.93.0.134:5140
东南卫视 ,http://171.88.137.8:5555/udp/239.93.0.42:5140
黑龙江卫视,http://171.88.137.8:5555/udp/239.93.0.183:5140
重庆卫视,http://171.88.137.8:5555/udp/239.93.1.107:5140
贵州卫视,http://171.88.137.8:5555/udp/239.93.0.131:5140
湖北卫视,http://171.88.137.8:5555/udp/239.93.0.250:5140
安徽卫视,http://171.88.137.8:5555/udp/239.93.1.106:5140
河北卫视,http://171.88.137.8:5555/udp/239.93.0.132:5140
辽宁卫视,http://171.88.137.8:5555/udp/239.93.1.108:5140
广西卫视,http://171.88.137.8:5555/udp/239.93.42.46:5140
云南卫视,http://171.88.137.8:5555/udp/239.93.0.174:5140
吉林卫视,http://171.88.137.8:5555/udp/239.93.0.248:5140
陕西卫视,http://171.88.137.8:5555/udp/239.93.0.176:5140
山西卫视,http://171.88.137.8:5555/udp/239.93.0.6:5140
内蒙古卫视,http://171.88.137.8:5555/udp/239.93.0.8:5140
青海卫视,http://171.88.137.8:5555/udp/239.93.0.192:5140
宁夏卫视,http://171.88.137.8:5555/udp/239.93.0.247:5140
西藏卫视,http://171.88.137.8:5555/udp/239.93.0.175:5140
新疆卫视,http://171.88.137.8:5555/udp/239.93.0.194:5140
甘肃卫视,http://171.88.137.8:5555/udp/239.93.0.81:5140
海南卫视,http://171.88.137.8:5555/udp/239.93.0.80:5140
兵团卫视,http://171.88.137.8:5555/udp/239.93.42.43:5140
厦门卫视,http://171.88.137.8:5555/udp/239.93.42.57:5140
三沙卫视,http://171.88.137.8:5555/udp/239.93.42.58:5140
轮播频道,#genre#
CHC动作电影,http://171.88.137.8:5555/udp/239.93.42.7:5140
CHC家庭影院,http://171.88.137.8:5555/udp/239.93.42.6:5140
CHC高清电影,http://171.88.137.8:5555/udp/239.93.42.5:5140
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
峨眉电影,http://171.88.137.8:5555/udp/239.93.0.252:5140
求索记录,http://171.88.137.8:5555/udp/239.93.42.24:5140
纪实人文,http://171.88.137.8:5555/udp/239.93.1.137:5140
金鹰纪实,http://171.88.137.8:5555/udp/239.93.0.130:5140
生活时尚,http://171.88.137.8:5555/udp/239.93.42.29:5140
都市剧场,http://171.88.137.8:5555/udp/239.93.42.30:5140
环球旅游,http://171.88.137.8:5555/udp/239.93.42.31:5140
梨园频道,http://171.88.137.8:5555/udp/239.93.1.195:5140
谍战剧场,http://171.88.137.8:5555/udp/239.93.0.95:5140
卡酷动画,http://171.88.137.8:5555/udp/239.93.0.208:5140
金鹰卡通,http://171.88.137.8:5555/udp/239.93.0.108:5140
优漫卡通,http://171.88.137.8:5555/udp/239.93.0.251:5140
爱怀旧,http://171.88.137.8:5555/udp/239.93.42.21:5140
爱喜剧,http://171.88.137.8:5555/udp/239.93.42.9:5140
爱奇谈,http://171.88.137.8:5555/udp/239.93.42.22:5140
爱科幻,http://171.88.137.8:5555/udp/239.93.42.10:5140
爱院线,http://171.88.137.8:5555/udp/239.93.42.11:5140
爱体育,http://171.88.137.8:5555/udp/239.93.0.135:9008
爱谍战,http://171.88.137.8:5555/udp/239.93.42.14:5140
爱经典,http://171.88.137.8:5555/udp/239.93.42.13:5140
爱悬疑,http://171.88.137.8:5555/udp/239.93.42.12:5140
爱青春,http://171.88.137.8:5555/udp/239.93.42.16:5140
爱都市,http://171.88.137.8:5555/udp/239.93.42.15:5140
爱幼教,http://171.88.137.8:5555/udp/239.93.42.17:5140
爱玩具,http://171.88.137.8:5555/udp/239.93.42.18:5140
爱动漫,http://171.88.137.8:5555/udp/239.93.42.23:5140
爱电竞,http://171.88.137.8:5555/udp/239.93.42.19:5140
爱赛车,http://171.88.137.8:5555/udp/239.93.42.20:5140
军事,http://171.88.137.8:5555/udp/239.93.0.204:9076
戏曲,http://171.88.137.8:5555/udp/239.93.0.217:9208
熊猫影院,http://171.88.137.8:5555/udp/239.93.0.214:5140
经典电影,http://171.88.137.8:5555/udp/239.93.0.57:9024
红色影院,http://171.88.137.8:5555/udp/239.93.0.202:9068
华语影院,http://171.88.137.8:5555/udp/239.93.0.138:5140
星光院线,http://171.88.137.8:5555/udp/239.93.0.139:5140
全球大片,http://171.88.137.8:5555/udp/239.93.0.105:5140
热播剧场,http://171.88.137.8:5555/udp/239.93.0.56:9020
热门剧场,http://171.88.137.8:5555/udp/239.93.0.140:5140
宝宝动画,http://171.88.137.8:5555/udp/239.93.0.147:5140
少儿动画,http://171.88.137.8:5555/udp/239.93.0.193:9000
少儿天地,http://171.88.137.8:5555/udp/239.93.42.34:5140
青春动漫,http://171.88.137.8:5555/udp/239.93.0.146:5140
热门综艺,http://171.88.137.8:5555/udp/239.93.0.151:5140
音乐现场,http://171.88.137.8:5555/udp/239.93.0.198:9044
戏曲精选,http://171.88.137.8:5555/udp/239.93.0.144:5140
魅力时尚,http://171.88.137.8:5555/udp/239.93.0.190:9012
足球,http://171.88.137.8:5555/udp/239.93.0.197:9040
解密,http://171.88.137.8:5555/udp/239.93.0.199:9048
地理,http://171.88.137.8:5555/udp/239.93.0.200:9052
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
